UNITID,INSTNM,CITY,STABBR,ZIP,AccredAgency,INSTURL,NPCURL,sch_deg,HCM2,LATITUDE,LONGITUDE,CCSIZSET,ADM_RATE
108269,Academy of Chinese Culture and Health Sciences,Oakland,CA,94612,Accreditation Commission for Acupuncture and Oriental Medicine,www.acchs.edu,www.acchs.edu,,0,37.8067,-122.2727,,
109086,American Conservatory Theater,San Francisco,CA,94108-5834,Western Association of Schools and Colleges Senior College and University Commission,www.act-sf.org,www.actaccess.org/netpricecalculator/npcalc.htm,,0,37.7873,-122.4049,,
109651,Art Center College of Design,Pasadena,CA,91103,Western Association of Schools and Colleges Senior College and University Commission,www.artcenter.edu,www.artcenter.edu/accd/admissions/financial_aid/net_price_calculator.jsp,,0,34.1708,-118.1869,,0.8167
109785,Azusa Pacific University,Azusa,CA,91702-7000,Western Association of Schools and Colleges Senior College and University Commission,www.apu.edu,www.apu.edu/sfs/undergraduate/cost/calculator/,,0,34.1309,-117.888,14,0.7985
110097,Biola University,La Mirada,CA,90639-0001,Western Association of Schools and Colleges Senior College and University Commission,www.biola.edu,undergrad.biola.edu/finaid/#net-price,,0,33.9048,-118.0173,14,0.7286
110307,Phillips Graduate Institute,Chatsworth,CA,91311,Western Association of Schools and Colleges Senior College and University Commission,pgi.edu,,,0,34.2427,-118.5677,,
110316,California Institute of Integral Studies,San Francisco,CA,94103,Western Association of Schools and Colleges Senior College and University Commission,www.ciis.edu,npc.collegeboard.org/student/app/ciis,,0,37.7748,-122.4165,9,
110361,California Baptist University,Riverside,CA,92504-3297,Western Association of Schools and Colleges Senior College and University Commission,www.calbaptist.edu,calbaptist.studentaidcalculator.com/welcome.aspx,,0,33.9286,-117.4259,14,0.788
110370,California College of the Arts,San Francisco,CA,94107-2247,Western Association of Schools and Colleges Senior College and University Commission,www.cca.edu,www.cca.edu/admissions/financialaid/calculator,,0,37.8357,-122.2514,,0.8157
110398,University of California-Hastings College of Law,San Francisco,CA,94102-4978,Western Association of Schools and Colleges Senior College and University Commission,www.uchastings.edu,,,0,37.7807,-122.4154,,
110404,California Institute of Technology,Pasadena,CA,91125,Western Association of Schools and Colleges Senior College and University Commission,www.caltech.edu,www.finaid.caltech.edu/,,0,34.1393,-118.1257,11,0.1055
110422,California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,93407,Western Association of Schools and Colleges Senior College and University Commission,calpoly.edu,www.csumentor.edu/finaid/pais/,,0,35.2989,-120.6586,16,0.3123
110468,Alliant International University,San Diego,CA,92131-1799,Western Association of Schools and Colleges Senior College and University Commission,www.alliant.edu,www.alliant.edu/_resources/net-price-cal/npcalc.htm,,0,32.8971,-117.0944,13,0.4922
110486,California State University-Bakersfield,Bakersfield,CA,93311-1099,Western Association of Schools and Colleges Senior College and University Commission,www.csub.edu,www.csumentor.edu/finaid/pais/,,0,35.35,-119.1047,12,0.6626
110495,California State University-Stanislaus,Turlock,CA,95382-0299,Western Association of Schools and Colleges Senior College and University Commission,www.csustan.edu,www.csumentor.edu/FinAid/PAIS/,,0,37.5258,-120.8525,12,0.7215
110510,California State University-San Bernardino,San Bernardino,CA,92407-2397,Western Association of Schools and Colleges Senior College and University Commission,www.csusb.edu,www.csumentor.edu/FinAid/pais/,,0,34.183,-117.3225,15,0.5831
110529,California State Polytechnic University-Pomona,Pomona,CA,91768,Western Association of Schools and Colleges Senior College and University Commission,www.csupomona.edu,www.csumentor.edu/finaid/pais/,,0,34.0543,-117.819,15,0.5218
110538,California State University-Chico,Chico,CA,95929-0150,Western Association of Schools and Colleges Senior College and University Commission,www.csuchico.edu,www.csuchico.edu/fa/awardInfo/cost.shtml,,0,39.728,-121.8463,15,0.7161
110547,California State University-Dominguez Hills,Carson,CA,90747-0005,Western Association of Schools and Colleges Senior College and University Commission,www.csudh.edu,www.csumentor.edu/finaid/pais/,,0,33.8652,-118.2593,15,0.5747
110556,California State University-Fresno,Fresno,CA,93740,Western Association of Schools and Colleges Senior College and University Commission,www.csufresno.edu,www.collegeportraits.org/CA/CSUFRESNO/costs,,0,36.8145,-119.7483,15,0.5815
110565,California State University-Fullerton,Fullerton,CA,92831-3599,Western Association of Schools and Colleges Senior College and University Commission,www.fullerton.edu,www.csumentor.edu/finaid/pais/,,0,33.8836,-117.8853,15,0.4579
110574,California State University-East Bay,Hayward,CA,94542,Western Association of Schools and Colleges Senior College and University Commission,www.csueastbay.edu,www20.csueastbay.edu/prospective/cost-and-financial-aid/cost-of-attendance/,,0,37.6571,-122.0581,15,0.6872
110583,California State University-Long Beach,Long Beach,CA,90840-0115,Western Association of Schools and Colleges Senior College and University Commission,www.csulb.edu,www.csumentor.edu/finaid/pais/,,0,33.7828,-118.1123,15,0.3082
110592,California State University-Los Angeles,Los Angeles,CA,90032,Western Association of Schools and Colleges Senior College and University Commission,www.calstatela.edu,www.csumentor.edu/finaid/pais/,,0,34.0669,-118.169,15,0.6752
110608,California State University-Northridge,Northridge,CA,91330,Western Association of Schools and Colleges Senior College and University Commission,www.csun.edu,www.csumentor.edu/finaid/pais/,,0,34.2367,-118.5268,15,0.4624
110617,California State University-Sacramento,Sacramento,CA,95819-2694,Western Association of Schools and Colleges Senior College and University Commission,www.csus.edu,www.csumentor.edu/finaid/pais/,,0,38.5575,-121.4219,15,0.6968
110635,University of California-Berkeley,Berkeley,CA,94720,Western Association of Schools and Colleges Senior College and University Commission,www.berkeley.edu,calculator.berkeley.edu/,,0,37.8715,-122.2604,16,0.18
110644,University of California-Davis,Davis,CA,95616-8678,Western Association of Schools and Colleges Senior College and University Commission,www.ucdavis.edu,financialaid.ucdavis.edu/aidEstimator/ucdcalcmain.aspx,,0,38.5399,-121.752,16,0.4521
110653,University of California-Irvine,Irvine,CA,92697,Western Association of Schools and Colleges Senior College and University Commission,www.uci.edu/,www.ofas.uci.edu/content/Calculator.aspx,,0,33.667,-117.7686,16,0.4239
110662,University of California-Los Angeles,Los Angeles,CA,90095-1405,Western Association of Schools and Colleges Senior College and University Commission,www.ucla.edu/,www.fao.ucla.edu/aid_estimator/,,0,34.0689,-118.4439,16,0.2199
110671,University of California-Riverside,Riverside,CA,92521,Western Association of Schools and Colleges Senior College and University Commission,WWW.UCR.EDU,www.finaidestimator.ucr.edu/,,0,33.9759,-117.3311,16,0.62
110680,University of California-San Diego,La Jolla,CA,92093,Western Association of Schools and Colleges Senior College and University Commission,www.ucsd.edu,students.ucsd.edu/finances/financial-aid/forms/calculator.html,,0,32.8766,-117.2378,16,0.375
110699,University of California-San Francisco,San Francisco,CA,94143-0244,Western Association of Schools and Colleges Senior College and University Commission,www.ucsf.edu,,,0,37.7627,-122.458,,
110705,University of California-Santa Barbara,Santa Barbara,CA,93106,Western Association of Schools and Colleges Senior College and University Commission,www.ucsb.edu,www.finaid.ucsb.edu/Prospective/AidEstimator.aspx,,0,34.4155,-119.8481,16,0.4444
110714,University of California-Santa Cruz,Santa Cruz,CA,95064-1011,Western Association of Schools and Colleges Senior College and University Commission,www.ucsc.edu/,www2.ucsc.edu/finaidcalc/calculator/index.php,,0,36.9973,-122.068,16,0.5991
110778,Sofia University,Palo Alto,CA,94303,Western Association of Schools and Colleges Senior College and University Commission,www.sofia.edu,www.sofia.edu/admissions/loancalculator.php,,0,37.4303,-122.1087,,
111081,California Institute of the Arts,Valencia,CA,91355-2397,Western Association of Schools and Colleges Senior College and University Commission,www.calarts.edu,www.calarts.edu,,0,34.3933,-118.5673,,0.2992
111948,Chapman University,Orange,CA,92866,Western Association of Schools and Colleges Senior College and University Commission,www.chapman.edu,www.chapman.edu/finaid/orangeUG/,,0,33.7937,-117.8515,13,0.4471
111966,Charles R Drew University of Medicine and Science,Los Angeles,CA,90059,Western Association of Schools and Colleges Senior College and University Commission,www.cdrewu.edu,www.cdrewu.edu/Calculators,,0,33.9257,-118.2428,,0.8889
112075,Concordia University-Irvine,Irvine,CA,92612-3203,Western Association of Schools and Colleges Senior College and University Commission,www.cui.edu,www.cui.edu/studentlife/financial-aid/undergraduate/index.aspx?id=21911,,0,33.6535,-117.8106,11,0.9119
112084,San Diego Christian College,El Cajon,CA,92019-1157,Western Association of Schools and Colleges Senior College and University Commission,www.sdcc.edu,www.sdcc.edu/NetPriceCalc/npcalc.htm,,0,32.8,-116.9031,8,0.492
112251,Claremont Graduate University,Claremont,CA,91711-6160,Western Association of Schools and Colleges Senior College and University Commission,www.cgu.edu,www.cgu.edu/custom/finaid/pages/5263.asp,,0,34.1038,-117.7124,18,
112260,Claremont McKenna College,Claremont,CA,91711-6400,Western Association of Schools and Colleges Senior College and University Commission,www.claremontmckenna.edu/,npc.collegeboard.org/student/app/claremontmckenna,,0,34.1023,-117.7066,11,0.1173
112394,Cogswell College,Sunnyvale,CA,94089,Western Association of Schools and Colleges Senior College and University Commission,www.cogswell.edu,www.cogswell.edu/financial-aid/npcalc.htm,,0,37.407,-122.0242,7,0.7784
112525,Western University of Health Sciences,Pomona,CA,91766-1854,Western Association of Schools and Colleges Senior College and University Commission,www.westernu.edu,www.westernu.edu/financial-budgets,,0,34.0581,-117.7477,,
113698,Dominican University of California,San Rafael,CA,94901-2298,Western Association of Schools and Colleges Senior College and University Commission,www.dominican.edu,www.dominican.edu/admissions/aid/net-price-calculator-npc,,0,37.98,-122.5147,10,0.7752
114114,Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,90403,Accreditation Commission for Acupuncture and Oriental Medicine,www.emperors.edu,,,0,34.0303,-118.4847,,
114549,Fielding Graduate University,Santa Barbara,CA,93105-3538,Western Association of Schools and Colleges Senior College and University Commission,www.fielding.edu,www.fielding.edu/financialAid,,0,34.4344,-119.7139,18,
114585,Five Branches University,Santa Cruz,CA,95062,Accreditation Commission for Acupuncture and Oriental Medicine,www.fivebranches.edu,www.fivebranches.edu,,0,36.9641,-121.9985,,
114813,Fresno Pacific University,Fresno,CA,93702-4709,Western Association of Schools and Colleges Senior College and University Commission,www.fresno.edu,experiencefpu.com/financial-aid/traditional-undergraduate-net-price-calculator,,0,36.7253,-119.732,10,0.7844
115083,Golden Gate University-San Francisco,San Francisco,CA,94105-2968,Western Association of Schools and Colleges Senior College and University Commission,www.ggu.edu,www.ggu.edu/undergraduate/enrollment/financial-aid/net-price-calculator,,0,37.7892,-122.3988,9,
115409,Harvey Mudd College,Claremont,CA,91711,Western Association of Schools and Colleges Senior College and University Commission,www.hmc.edu,npc.collegeboard.org/student/app/hmc,,0,34.1061,-117.7106,8,0.1817
115728,Holy Names University,Oakland,CA,94619-1699,Western Association of Schools and Colleges Senior College and University Commission,www.hnu.edu,www.hnu.edu/calc/npcalc.htm,,0,37.8027,-122.1872,7,0.5668
115746,Pacifica Graduate Institute,Carpinteria,CA,93013,Western Association of Schools and Colleges Senior College and University Commission,www.pacifica.edu,www.pacifica.edu,,0,34.4205,-119.5803,18,
115755,Humboldt State University,Arcata,CA,95521-8299,Western Association of Schools and Colleges Senior College and University Commission,www.humboldt.edu,www.csumentor.edu/finaid/pais/,,0,40.8741,-124.0814,12,0.8018
115773,Humphreys College-Stockton and Modesto Campuses,Stockton,CA,95207-3896,Western Association of Schools and Colleges Senior College and University Commission,www.humphreys.edu,www.humphreys.edu/index.php?option=com_content&view=article&id=20&Itemid=52,,0,38.0111,-121.3164,7,
116712,John F Kennedy University,Pleasant Hill,CA,94523-4817,Western Association of Schools and Colleges Senior College and University Commission,www.jfku.edu,www.jfku.edu,,0,37.8818,-122.184,6,
116846,American Jewish University,Los Angeles,CA,90077-1519,Western Association of Schools and Colleges Senior College and University Commission,www.aju.edu,www.aju.edu,,0,34.1281,-118.4718,8,0.59
117140,University of La Verne,La Verne,CA,91750-4401,Western Association of Schools and Colleges Senior College and University Commission,www.laverne.edu/,laverne.studentaidcalculator.com/survey.aspx,,0,34.1009,-117.7726,13,0.3895
117168,Laguna College of Art and Design,Laguna Beach,CA,92651,Western Association of Schools and Colleges Senior College and University Commission,www.lcad.edu,www.lcad.edu/netprice,,0,33.5614,-117.7726,,0.4327
117627,La Sierra University,Riverside,CA,92515-8247,Western Association of Schools and Colleges Senior College and University Commission,www.lasierra.edu,www.lasierra.edu/fileadmin/documents/finaid/netprice/npcalc.htm,,0,33.9088,-117.4971,10,0.4677
117636,Loma Linda University,Loma Linda,CA,92350,Western Association of Schools and Colleges Senior College and University Commission,www.llu.edu/index.html,,,0,34.0515,-117.2611,,
117751,The Master's College and Seminary,Santa Clarita,CA,91321-1200,Western Association of Schools and Colleges Senior College and University Commission,www.masters.edu,npc.collegeboard.org/student/app/masters,,0,34.3821,-118.5174,11,0.6137
117946,Loyola Marymount University,Los Angeles,CA,90045-2659,Western Association of Schools and Colleges Senior College and University Commission,www.lmu.edu,financialaid.lmu.edu/prospective/netpricecalculator/,,0,33.9706,-118.4157,14,0.5412
118541,Marymount California University,Rancho Palos Verdes,CA,90275-6299,Western Association of Schools and Colleges Senior College and University Commission,www.MarymountCalifornia.edu,www.MarymountCalifornia.edu/financial-aid,,0,33.7346,-118.3334,2,
118693,Menlo College,Atherton,CA,94027-4301,Western Association of Schools and Colleges Senior College and University Commission,www.menlo.edu,tcc.noellevitz.com/(S(m0yg55vomw1vh010jkmaqqh0))/Menlo%20College/Freshman%20Students,,0,37.4529,-122.1814,8,0.3705
118888,Mills College,Oakland,CA,94613,Western Association of Schools and Colleges Senior College and University Commission,www.mills.edu,npc.collegeboard.org/student/app/mills,,0,37.7826,-122.1879,11,0.6798
119173,Mount St Mary's College,Los Angeles,CA,90049-1599,Western Association of Schools and Colleges Senior College and University Commission,www.msmc.la.edu,www.msmc.la.edu/calculator,,0,34.0821,-118.4805,10,0.7409
119544,The National Hispanic University,San Jose,CA,95127-3823,Western Association of Schools and Colleges Senior College and University Commission,www.nhu.edu,www.nhu.edu/financial_aid/index.htm,,0,37.3591,-121.8159,6,
119605,National University,La Jolla,CA,92037-1011,Western Association of Schools and Colleges Senior College and University Commission,www.nu.edu,www.nu.edu/Admissions/Financial-Aid-and-Scholarships.html,,0,32.9095,-117.2442,15,
120184,Notre Dame de Namur University,Belmont,CA,94002-1908,Western Association of Schools and Colleges Senior College and University Commission,www.ndnu.edu,www.ndnu.edu/admissions/financial-aid/day-undergraduate/calculator-freshmen.aspx,,0,37.5175,-122.2846,10,0.872
120254,Occidental College,Los Angeles,CA,90041-3392,Western Association of Schools and Colleges Senior College and University Commission,www.oxy.edu,www.oxy.edu/admission-aid/financial-aid/net-price-calculator,,0,34.1262,-118.2108,11,0.4239
120403,Otis College of Art and Design,Los Angeles,CA,90045-3505,Western Association of Schools and Colleges Senior College and University Commission,www.otis.edu,www.otis.edu/life_otis/student_life/financial_aid/net_price_calculator.html,,0,33.9566,-118.4166,,0.4628
